"Gene","Estimate","Std. Error","df","t value","Pr(>|t|)","score","padj"
"POS_D",-0.0147153387445892,0.178860095930512,22.1920849328455,-0.0822728997657817,0.935167265986188,"blessed_score",0.999145803413394
"TBX21",-0.0185162825774559,0.245656506395535,21.0694472493174,-0.0753746882146185,0.940627703549838,"blessed_score",0.999145803413394
"PRDM1",0.0120069797997333,0.216887031920031,20.4084372381271,0.0553605242943269,0.956389637515503,"blessed_score",0.999145803413394
"CD27",0.00386532070691067,0.180980772308602,18.4487822488918,0.0213576318500821,0.983189675906891,"blessed_score",0.999145803413394
"CD274",-0.00367160227043545,0.190648834444161,19.771611083711,-0.0192584564240325,0.984827949537445,"blessed_score",0.999145803413394
"CCR6",-0.00195879562519089,0.198802852308929,21.7747886972841,-0.00985295533962976,0.992228322566998,"blessed_score",0.999145803413394
"NEG_A",0.000197303832257918,0.18238537679555,23.973199839102,0.00108179633545452,0.999145803413394,"blessed_score",0.999145803413394
"SPN",-0.159020009475105,0.0320776795594417,4.19949498806325,-4.95734141805463,0.00680059456378898,"iadl_score",0.852341185328219
"LAG3",-0.19292141056157,0.0536239452999068,4.34206687059127,-3.59767282102432,0.0198358519762665,"iadl_score",0.977133978113962
"NEG_E",-0.303271845685775,0.100915107052245,6.21331712438609,-3.00521749958377,0.0228500457766777,"iadl_score",0.977133978113962
"CD8A",-0.188167844155198,0.054662887334968,4.28006024286953,-3.44233269278526,0.0235622174631156,"iadl_score",0.977133978113962
"TBX21",-0.175822313390908,0.0567009329989039,4.21047588315958,-3.10087160989585,0.0337755301538283,"iadl_score",0.977133978113962
"PVRIG",-0.353003439618485,0.133260651893155,6.31382845364643,-2.64896977917768,0.0362894353076473,"iadl_score",0.977133978113962
"ZBTB7B",-0.1497866464114,0.0549927547035347,4.51275512091569,-2.72375237827053,0.0463571153930735,"iadl_score",0.977133978113962
"ITCH",-0.182930859185842,0.0770616266366212,4.98832451427613,-2.37382556234427,0.0637693395927613,"iadl_score",0.977133978113962
"TGFB1",-0.130705900913348,0.0534780988805254,4.38332257741448,-2.44410148545773,0.0653799046922845,"iadl_score",0.977133978113962
"EOMES",-0.170371174137298,0.0721419001854772,4.86353005011545,-2.36161195781193,0.0660595027417101,"iadl_score",0.977133978113962
"NEG_H",0.105773578195218,0.04646111546405,4.18138974382543,2.27660436342864,0.0822199763362069,"iadl_score",0.977133978113962
"FOXP3",-0.151978504364467,0.0829475780629353,5.45655618843878,-1.83222353097706,0.121509665756665,"iadl_score",0.977133978113962
"UBC",0.106248707676074,0.0560274550263145,4.36906489209839,1.89636862188675,0.124739135698383,"iadl_score",0.977133978113962
"ADORA2A",-0.121338498555298,0.061855358231486,3.77397194654822,-1.96164895046284,0.125559074965242,"iadl_score",0.977133978113962
"CXCR3",-0.100396704918806,0.0570701371121619,4.48088746517375,-1.75918107085484,0.145624998056714,"iadl_score",0.977133978113962
"C10orf54",-0.192716717020731,0.124021682759982,9.62287942294871,-1.55389535710214,0.152450484697693,"iadl_score",0.977133978113962
"RORA",0.16321735284759,0.112108531423461,6.90700923818966,1.45588699428306,0.189323156321739,"iadl_score",0.977133978113962
"RUNX3",-0.108091436245806,0.0714756589970222,4.66721104701617,-1.51228317111856,0.194940954676106,"iadl_score",0.977133978113962
"TNFRSF14",-0.119899195116829,0.083164737089952,5.84690398669067,-1.44170713829281,0.200724030129,"iadl_score",0.977133978113962
"TIGIT",-0.110009059498063,0.0774889612391333,4.85931954987747,-1.41967394760361,0.216549286779441,"iadl_score",0.977133978113962
"CTLA4",0.134813936575517,0.0971817976709499,5.62826056392377,1.38723443902516,0.217802185809104,"iadl_score",0.977133978113962
"CD3E",-0.121627409930025,0.0884076372475149,4.95288283500541,-1.3757568205279,0.227852671392077,"iadl_score",0.977133978113962
"CD127",-0.157740718068877,0.122684605389138,7.49401328517686,-1.28574174052682,0.236835824962894,"iadl_score",0.977133978113962
"CD4",-0.128563775051597,0.0984898248691215,5.70987248316329,-1.30535083418454,0.241900567307511,"iadl_score",0.977133978113962
"GATA3",-0.129977143803848,0.103101838890508,7.49111072362401,-1.26066756134079,0.245274393477271,"iadl_score",0.977133978113962
"PTPRC_2",-0.146450125027244,0.115663499008417,5.88819391047214,-1.26617408502044,0.253235483289065,"iadl_score",0.977133978113962
"NEG_B",-0.243926478389004,0.209483558202199,22.4084836102195,-1.16441825068467,0.25650216495004,"iadl_score",0.977133978113962
