"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs","padj"
"IL2RA",0.16014425089985,0.215709440300545,24.3153365145611,0.742407243172684,0.464952689821841,98.853986720476,105.515009271352,0.419515483486703,0.0626622261484906,0.38070935290691,0.610860016606278,28,0.999145803413394
"KIR.Activating.Subgroup.1",-0.131191185057409,0.178623019841882,22.8366252902272,-0.734458443114107,0.470144342935655,99.6413733025286,106.302395853405,0.192742675856525,0.0725880039837062,0.129559108992491,0.82111394359136,28,0.999145803413394
"SPN",-0.129467211747253,0.179180416638078,24.1897208425373,-0.722552241904653,0.476883202618529,99.2750023067323,105.936024857608,0.389708474356937,0.0627667593919344,0.348837088570276,0.635686324258404,28,0.999145803413394
"CD200R1",0.114153746058054,0.178403822148566,22.1157739330164,0.639861549395461,0.528836161138423,99.4488311992451,106.109853750121,0.344433191624558,0.062449239843402,0.300766597143025,0.675904664696069,28,0.999145803413394
"VTCN1",0.16783566084901,0.263882931217771,24.9976250867783,0.636023179197227,0.530542009944705,98.5924885361101,105.253511086986,0.456523856176543,0.0526642652151873,0.426310943556978,0.575984099797693,28,0.999145803413394
"ZBTB7B",-0.118856570253486,0.201531054522318,21.8818339244445,-0.589768016324866,0.561387285389333,99.2041644443102,105.865186995186,0.489986074087582,0.0512465217627082,0.462437885487404,0.547049530648627,28,0.999145803413394
"POS_B",0.101948362870142,0.178793371789845,16.4931823479477,0.570202138085821,0.576226555062999,99.4525629115346,106.113585462411,0.455743608856932,0.0495716730177509,0.427356723603596,0.573887033161935,28,0.999145803413394
"NECTIN2",0.0919832924485338,0.169738526698393,14.1521576467966,0.541911693460013,0.596309086982347,99.63936486899,106.300387419866,0.519405030910361,0.0421635715306391,0.498249435075633,0.518507301302364,28,0.999145803413394
"NEG_G",-0.100736646895465,0.18864146321126,24.7923376076068,-0.534011161600511,0.598089979507676,99.3889351788667,106.049957729743,0.466795762735994,0.05010743358059,0.438668902027624,0.567359911028502,28,0.999145803413394
"B3GAT1",0.111187205032896,0.216541399577849,24.9917502400243,0.513468580371498,0.612133378524284,99.1722698293698,105.833292380246,0.512617406397474,0.0450303207629659,0.489635530635992,0.528239360837769,28,0.999145803413394
